Actual_GPP,Predicted_GPP_Optimized,Predicted_GPP_Linregress
-0.278544,-2353.6292489401494,-2193.2810873371864
-0.124923,-2340.3363841354844,-2175.1868528447962
-0.165023,-1900.1970987688433,-2058.954627276599
-0.00569358,-1355.822926121349,-1890.7822266186815
-0.0851224,-1773.494519936407,-2008.867500004892
-0.155764,-2086.2126252163607,-2025.2578692539669
-0.134548,-1998.3012099038958,-2085.159122451232
0.0230664,-2008.7318254020367,-2185.213096058033
-0.0373154,-2223.3469732365165,-2226.416200148388
-0.035531,-2241.784387814838,-2219.481485569125
-0.0334347,-2032.7408103376454,-2136.9729338925736
0.0201108,-1797.8262418987376,-1940.2152628104568
0.135961,-1365.7593949131121,-1899.434922776619
0.132954,-1741.029517061722,-2060.046686728533
0.111217,-1039.9556107978767,-1864.1380050359505
0.111186,-1281.8173879435813,-1893.610522148543
0.0301069,-1855.8013535755401,-2074.75959718543
-0.0132585,-1603.5613839987698,-1902.3858581725972
-0.0602438,-1850.9122216163207,-2100.1813414423063
-0.058171,-1945.6524488681875,-2086.518598452947
-0.0101208,-1848.5534546726876,-2157.20262113102
-0.145466,-2003.6043543070052,-2216.017228059985
-0.326198,-2104.6227317062176,-2288.505786040626
-0.150556,-1993.175979602868,-2018.143730426829
-0.0185547,-1632.2803177959797,-2016.4976313571087
-0.099316,-2072.2703833150176,-2234.758409529832
-0.28939,-2215.1436692618886,-2300.240066244838
-0.292183,-2525.075214914838,-2352.57258607646
-0.299686,-2735.275873913632,-2308.6624197097194
-0.206991,-2752.1713565816135,-2401.8024220861125
-0.209358,-2690.8777764735996,-2369.2141248329644
-0.16666,-2656.03414230804,-2385.895344760927
-0.0734959,-1536.1942201788872,-1960.4476434883566
-0.127262,-1686.4394076309509,-2044.8183246878964
-0.119845,-2203.1990793448867,-2334.407965509153
-0.0746992,-2059.802024189419,-2114.2376730186324
-0.0350712,-2006.7414248722428,-2164.435433354245
-0.0767922,-2353.182499518271,-2296.426451872559
-0.0548079,-2352.0673941316063,-2337.146353671353
-0.130405,-2471.798439864708,-2371.7788455959753
-0.0933353,-2510.7878313826145,-2385.604281510424
-0.00442804,-2451.0161996956726,-2384.486492551301
0.0261007,-2370.871255199012,-2358.9627729500867
-0.216432,-1919.179263560433,-1913.311632091558
-0.119565,-2752.8563622603365,-2482.2226171155853
0.293711,-2608.708475667607,-2416.311989531211
0.218743,-2180.7688412767357,-2267.3892750589075
-0.224844,-1612.0672406108595,-2004.6240575165189
-0.150231,-1693.6809853607783,-2074.5434610208245
0.0814686,-1004.4688944313315,-1890.942451843229
0.231308,-1140.3752129292668,-1916.1515013941998
0.194689,-1058.2073995933226,-1897.252857754269
0.436642,-1211.892256933235,-1921.907973557592
0.337725,-2257.99292522252,-2231.1904866454747
0.0993141,-2649.3235046608393,-2479.0951992172095
0.188473,-2647.370049608574,-2524.869251716984
0.15066,-2739.134652264723,-2259.953986304892
0.138255,-1994.3729257826321,-2089.6302451439924
-0.214548,-2618.018042569648,-2555.0231719535404
-0.426515,-2381.5810950812215,-2736.0471730319327
-0.382536,-2764.1422139612932,-2345.745922529385
0.199731,-1381.5638179645575,-1949.9543405444108
0.121334,-2351.062580602642,-2442.690396060869
0.294529,-1980.3873527580854,-2089.343219367532
0.411538,-2270.8266727149444,-2093.0380569895856
0.536221,-1476.6262101416592,-1962.3032338166054
0.632425,-2077.987374126937,-2079.005347654066
0.685303,-2424.6617276672237,-2013.533708883626
0.399259,-2985.5582539178426,-2072.4568570924216
0.0205967,-2710.5378143444486,-2679.4731299132395
-0.103565,-2170.8589363349715,-2891.3720455067833
0.339892,-1895.5708865270128,-2894.6078754900172
0.205396,-1670.158704513962,-2960.395146885891
0.65078,-2560.682839050541,-2746.2684556048603
0.985078,-2097.154049705693,-2837.5988367337677
0.50805,-1840.1043459902833,-2924.1578372840713
0.366943,-938.4542080369346,-3134.5928546675623
0.332064,-685.7375269628972,-3149.047351627908
0.81171,-688.0944928894462,-3150.466775915482
0.68944,-1793.7141849930424,-2838.627422959473
1.00318,-1601.1045590880246,-2792.1438696609675
-0.335365,-1754.3859392984036,-1985.702465418021
-2.43249,-753.1867390110934,-1856.8836649448451
-2.60888,-857.242329511027,-1866.2175064054206
-0.905076,-1671.820237120925,-2068.8807021004923
0.192962,-2119.554728030367,-2776.9829577143537
1.53751,-2378.047986118184,-2461.4846613012496
0.783016,-2249.3521047771583,-2320.4356119785125
1.77781,-2581.239707358807,-2381.169445585295
2.95874,-1817.9035830081846,-2903.129848676842
3.41541,-1895.1514328127835,-2858.516714021733
3.13924,-1897.9057723993508,-2141.1797567717886
1.9556,-779.861843825177,-1899.9824146938452
2.90375,-760.6090684518338,-1900.0502185838297
4.79523,-2340.912696831615,-2497.569591939181
